exp:
  0: 0 # 0 -> 1 (더미)
  1: 141 # 1 -> 2
  2: 118 # 2 -> 3
  3: 188 # 3 -> 4
  4: 299 # 4 -> 5
  5: 355 # 5 -> 6
  6: 440 # 6 -> 7
  7: 525 # 7 -> 8
  8: 609 # 8 -> 9
  9: 684 # 9 -> 10
  10: 770 # 10 -> 11
  11: 857 # 11 -> 12
  12: 943 # 12 -> 13
  13: 1030 # 13 -> 14
  14: 1117 # 14 -> 15
  15: 1204 # 15 -> 16
  16: 1292 # 16 -> 17
  17: 1379 # 17 -> 18
  18: 1467 # 18 -> 19
  19: 1554 # 19 -> 20
  20: 1643 # 20 -> 21
  21: 1730 # 21 -> 22
  22: 1818 # 22 -> 23
  23: 1906 # 23 -> 24
  24: 1994 # 24 -> 25
  25: 2082 # 25 -> 26
  26: 2170 # 26 -> 27
  27: 2258 # 27 -> 28
  28: 2346 # 28 -> 29
  29: 2435 # 29 -> 30
  30: 2522 # 30 -> 31
  31: 2611 # 31 -> 32
  32: 2699 # 32 -> 33
  33: 2787 # 33 -> 34
  34: 2876 # 34 -> 35
  35: 2964 # 35 -> 36
  36: 3052 # 36 -> 37
  37: 3141 # 37 -> 38
  38: 3229 # 38 -> 39
  39: 3318 # 39 -> 40
  40: 3406 # 40 -> 41
  41: 3495 # 41 -> 42
  42: 3583 # 42 -> 43
  43: 3672 # 43 -> 44
  44: 3761 # 44 -> 45
  45: 3849 # 45 -> 46
  46: 3938 # 46 -> 47
  47: 4027 # 47 -> 48
  48: 4115 # 48 -> 49
  49: 4204 # 49 -> 50
  50: 0
